epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1347.26,0.85682,0.66954,1.21778,0.95371,0.97222,0.96118,0.83333,0.60603,0.58784,1.0343,0.000742625,0.000742625,0.000742625
43,1376.45,0.85338,0.66324,1.22001,0.95289,0.96792,0.97472,0.85516,0.60128,0.53698,1.04566,0.00073025,0.00073025,0.00073025
44,1406.12,0.85436,0.69635,1.22163,0.97709,0.97222,0.97149,0.82813,0.69394,0.5445,1.07326,0.000717875,0.000717875,0.000717875
45,1435.65,0.82859,0.65098,1.19068,0.96476,0.95856,0.97034,0.72787,0.90909,0.6336,1.24451,0.0007055,0.0007055,0.0007055
46,1465.46,0.81102,0.62123,1.19316,0.91472,0.95569,0.96956,0.82083,0.59431,0.66492,1.00228,0.000693125,0.000693125,0.000693125
47,1494.92,0.80232,0.64323,1.19835,0.97617,0.95382,0.96382,0.84047,0.53707,0.52215,1.01106,0.00068075,0.00068075,0.00068075
48,1524.41,0.81279,0.64245,1.17799,0.97013,0.96344,0.96206,0.82908,0.58464,0.52127,0.99305,0.000668375,0.000668375,0.000668375
49,1553.99,0.87878,0.66626,1.25069,0.96871,0.96817,0.96382,0.8466,0.58331,0.48672,1.00865,0.000656,0.000656,0.000656
50,1583.48,0.80295,0.65257,1.1976,0.97127,0.96724,0.96662,0.88289,0.44875,0.47589,0.94702,0.000643625,0.000643625,0.000643625
51,1613.35,0.77518,0.63691,1.16688,0.94852,0.95735,0.97738,0.87369,0.53047,0.52909,0.98066,0.00063125,0.00063125,0.00063125
52,1643.37,0.73173,0.58535,1.16143,0.94396,0.97222,0.96387,0.8668,0.47452,0.48073,0.9543,0.000618875,0.000618875,0.000618875
53,1673.12,0.76628,0.59466,1.14406,0.9709,0.97222,0.97369,0.85782,0.5216,0.4828,0.99575,0.0006065,0.0006065,0.0006065
54,1702.73,0.8013,0.63961,1.1989,0.93349,0.97021,0.97207,0.87131,0.51101,0.48858,0.98808,0.000594125,0.000594125,0.000594125
55,1731.84,0.78798,0.59776,1.17316,0.96032,0.96611,0.9739,0.87998,0.54485,0.47019,0.99852,0.00058175,0.00058175,0.00058175
56,1761.53,0.75742,0.57511,1.15901,0.96105,0.95644,0.96485,0.82822,0.65204,0.53717,1.04683,0.000569375,0.000569375,0.000569375
57,1791.71,0.78162,0.61734,1.18591,0.94085,0.95693,0.96895,0.87455,0.50526,0.55501,0.96925,0.000557,0.000557,0.000557
58,1821.8,0.73645,0.56556,1.15789,0.96101,0.9566,0.97025,0.85468,0.52676,0.5251,0.97322,0.000544625,0.000544625,0.000544625
59,1851.3,0.74816,0.58882,1.14378,0.9806,0.97222,0.97326,0.8173,0.58817,0.47395,0.99381,0.00053225,0.00053225,0.00053225
60,1881.46,0.74509,0.59659,1.15102,0.97567,0.97222,0.96662,0.84788,0.54894,0.44627,0.97603,0.000519875,0.000519875,0.000519875
61,1910.84,0.7557,0.58817,1.15361,0.97852,0.97222,0.96485,0.87907,0.51308,0.44678,0.95677,0.0005075,0.0005075,0.0005075
62,1940.18,0.73,0.55059,1.13524,0.97328,0.97222,0.96294,0.85901,0.48942,0.44319,0.96802,0.000495125,0.000495125,0.000495125
63,1970.41,0.74638,0.56089,1.1569,0.97144,0.97222,0.96574,0.87139,0.46795,0.44217,0.96166,0.00048275,0.00048275,0.00048275
64,2000.35,0.69543,0.56157,1.13966,0.97113,0.96095,0.97061,0.88602,0.41223,0.41053,0.9157,0.000470375,0.000470375,0.000470375
65,2029.89,0.68429,0.52651,1.11156,0.97408,0.97113,0.96574,0.89966,0.41852,0.40676,0.92565,0.000458,0.000458,0.000458
66,2059.85,0.69107,0.50908,1.1126,0.97598,0.97222,0.96574,0.86602,0.45611,0.41559,0.94551,0.000445625,0.000445625,0.000445625
67,2089.54,0.67526,0.53144,1.11266,0.97368,0.97222,0.9675,0.88806,0.46023,0.39708,0.95935,0.00043325,0.00043325,0.00043325
68,2119.01,0.66622,0.51392,1.10051,0.97811,0.9655,0.96662,0.8743,0.45894,0.41414,0.94205,0.000420875,0.000420875,0.000420875
69,2148.6,0.66808,0.52302,1.1102,0.97778,0.97059,0.96662,0.87847,0.47091,0.4145,0.9399,0.0004085,0.0004085,0.0004085
70,2179.19,0.68404,0.5225,1.13391,0.96811,0.94205,0.96107,0.89101,0.40816,0.38531,0.90717,0.000396125,0.000396125,0.000396125
71,2209.41,0.65472,0.49667,1.12339,0.9749,0.94444,0.96387,0.9023,0.38754,0.39635,0.90167,0.00038375,0.00038375,0.00038375
72,2239.93,0.66477,0.51598,1.13043,0.966,0.96535,0.96574,0.89113,0.43048,0.41455,0.9219,0.000371375,0.000371375,0.000371375
73,2270.16,0.63186,0.48785,1.09065,0.96369,0.96523,0.96574,0.90069,0.3928,0.38975,0.91621,0.000359,0.000359,0.000359
74,2299.98,0.66375,0.51363,1.1083,0.97021,0.91503,0.96957,0.90606,0.39323,0.4055,0.91013,0.000346625,0.000346625,0.000346625
75,2329.6,0.65367,0.50926,1.0963,0.976,0.96504,0.97899,0.90361,0.39994,0.3685,0.90256,0.00033425,0.00033425,0.00033425
76,2359.71,0.63269,0.49966,1.0922,0.97244,0.97092,0.96662,0.88529,0.40671,0.3763,0.89649,0.000321875,0.000321875,0.000321875
77,2389.89,0.62277,0.45794,1.09723,0.97463,0.97222,0.96662,0.88635,0.4291,0.38181,0.89741,0.0003095,0.0003095,0.0003095
78,2421.17,0.63797,0.47584,1.08879,0.98005,0.97222,0.96662,0.89337,0.41534,0.36927,0.90009,0.000297125,0.000297125,0.000297125
79,2451.13,0.6197,0.48155,1.0836,0.978,0.97222,0.96662,0.90446,0.36744,0.36184,0.88388,0.00028475,0.00028475,0.00028475
80,2483.03,0.60398,0.49558,1.06932,0.97709,0.97222,0.96662,0.89868,0.39447,0.3901,0.89528,0.000272375,0.000272375,0.000272375
81,2513.12,0.64603,0.49841,1.12023,0.97399,0.96949,0.96662,0.87466,0.47093,0.37464,0.91873,0.00026,0.00026,0.00026
82,2543.44,0.58861,0.45242,1.0634,0.97179,0.96879,0.96662,0.85917,0.51298,0.39214,0.95188,0.000247625,0.000247625,0.000247625
83,2574.01,0.59691,0.4697,1.0884,0.97673,0.96943,0.96662,0.86416,0.48786,0.3945,0.92665,0.00023525,0.00023525,0.00023525
84,2604.12,0.58583,0.44049,1.06416,0.97839,0.97222,0.96662,0.90252,0.40814,0.37308,0.91209,0.000222875,0.000222875,0.000222875
