epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8948,1.34755,3.30011,1.69933,0.01032,1,0.40257,0.26257,0.71177,3.83821,1.21911,0.00025,0.00025,0.00025
2,76.8276,1.24333,2.37442,1.59182,0.97072,0.31661,0.65536,0.46454,0.81442,2.93889,1.26088,0.000507426,0.000507426,0.000507426
3,101.791,1.28599,2.2718,1.58875,0.44512,0.62989,0.71839,0.29406,1.65725,3.04962,2.25138,0.000759655,0.000759655,0.000759655
4,128.187,1.3701,2.18754,1.65228,0.59927,0.61727,0.70351,0.4816,0.99902,2.7948,1.45167,0.00100669,0.00100669,0.00100669
5,157.818,1.23146,1.83643,1.52634,0.51495,0.65069,0.60817,0.36958,1.04866,2.94206,1.50663,0.0012005,0.0012005,0.0012005
